mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
3533,-0.251596,-0.008226,0.593419,"c5709d65004e451068e22348d633493b0054786a4174f10085aa453448734330","13;48;52"
3493,-0.181367,0.192247,0.859866,"0cae8ebefa837efe36896cad75e32a51f7efa7c67eda8a7ffea7adedb8b2aa9b","48;49;50;51;52"
3449,0.088118,-0.070894,0.204447,"7c30b972aa69511ba2b7ad3817f7483a03966c101a67ea00dbc7757de0e18663","48;49;50;51;52"
3568,0.090081,-0.009826,0.752786,"839abbf920ac3917be1b5274bc97a068873b3f10b39c02d5cdfe3ac29080a1ab","48;50;52"
3566,0.064441,-0.004534,0.746687,"3d4d6a6754576f7874647d0a7355bb30389817eac8b23d3f73cda10477b376e0","3;14;49;50;51;52"
3502,0.021085,0.031290,0.176308,"9e7cbfbe5bf537debfcafc3f7cff677cb7fbff9325c7bafaf3f74f8b8a7527ff","0;3;13;14;49;50;51;52"
2914,0.007253,0.020158,0.180380,"a5cd6bcf7446efbc54ce5e02717db5657aec37eee1b07def65aee78035bb74e9","3;14;48;49;50;52"
3565,0.079526,-0.037093,0.746846,"fa7032882dddd848ad4cb50b0e9e6694ecb9dfa10c27f2dc93d18a7b530c6f57","49;51;52"
738,0.016504,0.057507,0.244716,"380052ec154f50600124e00b0b192090f899c4204cbb519c93dd8039738c6e0a","0;13;49;50;51;52"
729,-0.012059,0.009415,0.030424,"0107ed45340a6b3a74e06ac4d3219070124c2c2ca9b8650ee4ae21046ca25020","13;14;48;50;51;52"
3491,0.055200,-0.014098,0.744864,"b54f49e3a6086f946142bae6534b997b7fc21cfec9b06de2f4c9a684edfbf021","48;49;50;51;52"
3307,-0.652212,0.360272,1.213704,"419d9fedb0ee61372c096a40f7370070a4367c181198311dedaf324088428139","13;14;48;49;51;52"
3561,0.046098,-0.050306,0.739478,"bf5476742977dc72895eb53d0e1db7afcf11d527ece730c0535b5893d7fd2ef7","13;14;48;49;50;51;52"
3304,0.051435,-0.043797,0.740559,"4a9d3f1c5bfcb167a9456e312cbc2653a633e301562b32e573751a4b4304a7df","48;50;51;52"
1475,-0.025362,0.012173,0.072031,"c0989df5286e6933acfb2658f737807b87767c0839dcf304cffb759080e08439","13;14;48;49;50;51;52"
961,-0.237405,-0.106526,0.603382,"4122070c088b204ba6b0c0ec94c0c05200246a200343c3151420213c18000320","13;14;51;52"
560,0.100838,0.024777,0.340806,"2a86e098fdd18c4b171dddd308cebec4dd9b9385de0a6ed726549aef178cbcd4","13;48;49;50;51;52"
3384,-0.082609,0.014437,0.257390,"28b3b86bfb6911cf1b3d2c380e134a10931ac7101278eb31cfd5357ff208c6ab","0;3;48;50;51;52"
3258,0.049823,0.027088,0.242514,"21b8bbf97ccfe1da5e4bf076f2d8b460f9aa36198bbe7bb7ddffb3c8d808f0b9","48;49;50"
2513,-0.083934,0.014863,0.258050,"76adc4ff9d806ee8bf91ea036be95cc2f9ef7bd37e6bdbf7bffecf47a7c3f882","0;3;14;49;50;51;52"
542,-0.196011,0.015432,0.474907,"3b496aef341afef47d40fea27b5fb7607efd17efccb06deff6fd8a8067bf70ed","0;3;13;14;48;50"
717,-0.024112,0.013896,0.093779,"0294b69acbf4b4c7bf5f42132cfe6e4fa77bbb113649b2e11b365e4b8044addf","0;3;13;48;49;50;52"
347,0.005165,0.032661,0.242066,"65c5d54ec84a47ad714ae9087271883710d6646a7962fb2d21ba451c6bf2c22c","0;3;14;48;49;50"
