mp_id,mp_x,mp_y,mp_z,descriptor_hex,observations
799,0.112752,0.047364,0.298514,"53f9fbe56c4c7b5defe1fe0abf9fd672aeed7fdcc31bf3c0f7fd2fb0649a43f9","0;585;586;1672"
1329,-0.046563,0.052760,0.156642,"30fe9977b28957ff3227603937e3401037db45106ade883fe9873570a0d0860b","590;605;615"
1331,-0.050012,0.053030,0.156580,"195d1765934f77b56de06a087e7301343276586a61b8312ff5ee05026a32c32a","0;585;586;590;596;605;615;1672"
1341,-0.043926,0.050588,0.164569,"6c32b960e86d419823bf271896b7493a85d46c1a0855eb02dd9f753cc2f30623","590;605;615;1672"
1314,-0.031635,0.052612,0.148919,"d4a8bd75886a45bf32b7e218d727415b117e681838dcfb0acda27504e0f00668","585;586;590;596;605;615"
1092,-0.039953,0.050193,0.163970,"d740cf17220a2f21b8e24388f7e68b7f3665786e61d5bd4aa4224f142cf20374","586;590;605"
1085,0.007604,0.044689,0.163413,"d0941f3c0a42152bb9c6eabc26b2a25737b76c2069cfb64fb0a2541a2860277f","0;585;586;590;596;615;1672"
684,-0.013095,0.049462,0.151197,"d4f11961384b23b862e0a148d7d5c93012546c7a4321f91ef984257c60a20760","0;585;586;590;596;605;615;1672"
891,0.084023,0.033390,0.431527,"58b3f9a0f2d91bdd03ad5cef0fedc250769f85519e3ae491fac52defb78e8761","585;586;590;596;605;615;1672"
897,0.009738,-0.106193,0.432103,"edfeef57eaa86fb7f2db6ffc71e7c87b276e601ef35eae236e2f75e8e8f1e2f9","585;586;590;596;605;615;1672"
898,0.092999,0.027369,0.475829,"a4757d41e44fe7fe5fa67418523185351950426a60f4711a6f9e453453f846a2","0;585;590;596;605;615;1672"
900,-0.006166,-0.111146,0.462368,"2cf52818d95997e853f5ac09c2fc4f14995ac2734a62fa376b15057f523d5ef6","0;585;586;590;596;1672"
902,-0.014009,-0.057589,0.470502,"bd47ef47c632efd854c2f7e65169b96b7ec417feb9b72daa72abe1c4effb70b1","585;586;596;1672"
904,-0.006916,-0.107463,0.448231,"fd676d64981a4fb821e4a6cd534fdb333cc45dfee9d6fd2efee9a5b46fb75270","0;585;586;596;615;1672"
909,-0.036880,0.040210,0.476025,"6e587bf271d95982a945a4b99f1f0238cbb1df903a8f70f6dfd71053c2058672","585;586;590;596;605;615;1672"
911,-0.037000,0.038710,0.473940,"3ea3600afe138ad9073d9def434c9e845fda87f79e226fb53a44adfd778fbed5","0;585;586;590;596"
916,0.142749,0.027192,0.489620,"a9bdb159f5ffe4ef5bea781832b8d4a4992a5208777e701f2f5f153ada78daae","585;586;590;596;1672"
918,0.142957,0.027507,0.490146,"207f7241f28bb77779a47cac228585143e3ac670c0ba205e6594242253dac7a9","585;586;590;596;1672"
921,0.060589,0.031018,0.489455,"86d0bfb86fe4b9c2be5150b38cde6c48ef1bb391332f92f15d329aeb9c0db5f3","585;586;615"
690,0.021867,0.045638,0.157841,"bc14136cc367576b31a6e91b4aff211d79bb83a228b310def3c6c12f737466b2","585;586;596;615;1672"
698,0.007684,0.044992,0.165507,"00239501eae92003aeb92a6084b741de8137ea101299c3500d161a67804307ab","585;586;590;596"
700,0.007666,0.045062,0.164987,"e63f4510f88b163731eab0fda20cc4138f7fc577fd4ec02e2a1025fa4c8dda17","0;585;586;596;605;615;1672"
703,-0.021749,0.047186,0.166510,"47bdf615afb4bcaefef7ae14e8fadfefe367e81db769bff33e7f5f7ecf75e95c","585;586;596;615"
707,-0.044022,0.050567,0.165314,"f5253e46cd3e427861a6af1c42701e37b8c4686efc73b90c133a411449636a04","585;586;590;605;615;1672"
708,-0.003174,0.044327,0.168583,"a6b0145b598f5059bb31a15dc2d34c1dd8184b503ae7db350f9051764a09c2b2","585;586;596;605;1672"
709,-0.000650,0.044248,0.167496,"61899556095a84a4f993a608e23084bf007668485de9752d0b3e5413c2285a0c","585;586;596;605;615"
833,0.103809,-0.115857,0.329518,"d74c079fdbbfafeabecedbd7ede63bc57febfee765053effb4328f881d7729d4","585;586;590"
834,-0.131006,0.041578,0.308071,"74edc67edd0bc6ed57a2e00a63e91d5059ee6a6a6863cbbffbee851df33bfa02","585;586;596;605;615;1672"
835,0.024932,0.033137,0.330019,"24add276d58bc6e17aa2ea0862f91d1099ee42327afb483ffbbe4551c17a520a","585;586;605;1672"
838,0.095863,-0.108040,0.335795,"4fbeaf5fe9573ff8b7ffdee5f9fffff6f77fff8c85d3bff97f7fef8e8ef62dfd","585;586;590;1672"
839,0.096240,-0.108755,0.337359,"9b3cf6ffbdff7fdbff7ed635dffff775fff7ff8feed7fffffffb8fbb06d5e87f","585;586;1672"
842,-0.067700,0.038472,0.323304,"1d9d6feff4f66ff864c87e62797fb9617efe17eee9b03dbd6fefe7803ff370b9","0;585;586;590;1672"
846,0.092035,-0.106503,0.335949,"2dbf8e3ef9dfa7fdb6fef67ce6f4cad6d96eee123bdbfb3bbcd777bfda7cbef9","585;586;596;1672"
847,0.076455,0.043862,0.339468,"d2a4be928bfdb9cfbeb78518acf64e7fa137fb91364dfbf3dd165f7b80448f6e","585;586;596"
848,-0.144382,0.042170,0.323633,"3cedfdfffc7f7ffe37a2fe02fbf7817079fe7fea68f2ebffffffd704f3fbe6aa","585;590;596;615;1672"
850,0.028306,0.035943,0.332089,"a56b49ebec03ce4c16b0d1429388f12158c816cb4932cfb0a498cf3c35bb5088","0;585;590;1672"
851,0.028956,0.036510,0.338251,"24cd04cedda3c6edd3a2a80a6261298759e642ea786b48bf3d96c57bf17bf28a","585;586;615;1672"
852,0.029284,0.036856,0.341967,"26889cdedccbc6e0dfb1a00a62e82c06c9e26a525e6b4afd3d16d57bd12a5c8e","585;586;605;615;1672"
854,-0.075428,0.037010,0.330297,"11526bcf3643eb704c4cdfe6319db6607eb817efc1b125ed762daa803d8b75f9","585;586;590;1672"
713,-0.033857,0.047855,0.171954,"98af9a7392eb17ef3627aeb967770a10b7dfcd103a99093ff9c73551e040876b","585;586;596;605"
717,-0.034467,0.047917,0.172799,"d3cd07bc8b064ee7b1b2a2d967a201d3a0e76de76c4f8a3fb0e2cd392074aa0a","585;586;596;615"
723,0.012581,0.043926,0.178045,"52fb9aae388d12a8aa89986daed240d286f1ed530a0bca7198942fbb18030f1b","0;585;586;590;596;605;615;1672"
724,0.012541,0.043879,0.177938,"41331aac388d1a50a8e081edb7d6811096b95c6c8d03c05dd0b52bb808820b11","0;585;586;590;596;605;615;1672"
725,0.012577,0.043898,0.178602,"6630e0025dfd90c88b7dad9d4adc5fbe9990f3119e63fed01b54917fdf4f5e56","585;586;590"
12,-0.120586,0.038492,0.337109,"87ffd39af2842fff3ed858e4fce6ee74377b36ded3d8ae7f2c0e2fcc1cd3a3fd","0;586;596;1672"
13,-0.206074,0.058959,0.609566,"232ce25dd5b7efc757c37cd620e8b78c79ea129cb3ba14ff2e1e9640dfddfabc","585;586;590;596;605;1672"
17,-0.181386,-0.062585,0.605714,"a0d87afa74c5f3fc164d740374d72a007d38135862bc3a7f4f8f30c9518964fb","0;585;586;590"
18,-0.054566,0.036509,0.319590,"0aa6bb9b57f5bb47bf0d5d13accf3a44f73b831532892af74f571acb924eb5fb","0;585;586;590;596;605;615;1672"
20,-0.087848,0.040702,0.500018,"129429bb1ae5996b1645c993b5ff2840dd1b1b91320e7b17c9a5bae9900a25fa","0;585;586;590;1672"
21,-0.102958,0.043516,0.491637,"2529c24375bfe2d679e17c4c3098d5bc58ee125c87bad4e01e1c8420cfdf7a8c","0;586;590;615"
27,-0.092485,0.035136,0.343119,"347af86d6aab174b2f0c7ca80697a1583639c73002134018f2e520bbf0f387a3","0;585;586;590;596;605;615;1672"
31,0.082439,-0.063029,0.331592,"b5f5f14edc6f47f873e2ad4853f5dd3419de546af973f93f7b8e253cfbfbc2a0","585;586;590;596;1672"
33,0.015625,-0.069345,0.417344,"92aeeebecbf3becf9fb7d1b36cee6eca7fffaf95364f8ef3ba67dffbb57dbd5f","585;586;590;596;1672"
36,0.105359,-0.064142,0.306770,"2d356947f42feff850e87d4e537599305ecc166ee9b26d2e6e8da5846dfb52f1","585;586;590;1672"
37,0.094063,-0.065210,0.318747,"c6bdbebee9fd36e8bf9e8d19ecfe6e529177fb532643faf3bf574f3b90672f56","585;586;596;1672"
40,-0.024744,-0.069365,0.468575,"97b6c697e232bcdfbfd3dbf74deeffcb7fcfefb7b4dd8fe23e62ffc6adf5a995","585;586;590;596;1672"
43,0.054275,-0.085295,0.380091,"78e93a3239c953f5a30dac092fdb4210a0facd505a4b8a35fbc525796282ee4a","585;586;590;596;1672"
44,0.054140,-0.111615,0.387311,"64f57d67b44f77b879ec7f08d37599301edc7d6ae9b0f90eefff251440f34671","585;586;590;596"
47,-0.175563,-0.235761,0.638550,"fa71620c4f5396688be4fcaf08cc3795f8bdd3e34c27fedd3751893f773e7ede","585;586;590;596;605;615;1672"
55,-0.032028,0.050150,0.162086,"69f97367319e72b469e8fe6c7f1984b4b6edcc6ec5b8fdedb6fd04426a964a5d","0;585;586;1672"
56,-0.026114,0.047729,0.169107,"7efcdc7adbe117eeb317ac396cf7685487f3ebd23a4bda777bd7157ff253a672","0;586;590;605;615;1672"
57,-0.039736,0.048253,0.174002,"6460f8734a495108ab35250896974a1a831ce9100263ea00df81517fe0830662","0;585;586;590;596;605;615;1672"
59,-0.021708,0.047276,0.166207,"47bcd4d7fb366ebeffbb0e5468f2cdff77467a9eb349bfff2e1ed7c68af5a805","0;585;596;615"
60,0.093413,0.042968,0.347780,"3acdbbfc15d6fd67df47dc0238bf3664e8fb93894aab32eff3ff9e0b135cf4ee","0;585;586;590;596;605;1672"
65,0.040786,-0.090596,0.394747,"2575314f7c1fc6b847e8a94cd2581db4984c506ecd22791e259c053c5abb5aa4","585;586;605;1672"
67,0.010722,-0.107883,0.435830,"d0a81f7808e85147a211a0183793405ba1b66c101a4f8211d9a17079e000862a","585;586;590;596"
77,0.022836,0.041504,0.328474,"f4adbdb78de7d4e793b68a1b66fd410bc9f769137c6ffbbafbc2df73c178d4ca","0;585;586;590;596;605;615;1672"
84,-0.176229,-0.129321,0.604831,"2fa3e69f7ebbb8496ffddbefe9e8de887fafef9596f2cfd11e4ffbcfef8f79c5","0;585;605"
86,-0.175183,-0.151883,0.610094,"9426dfff7aebb94abeb7f7bacdefa16b7fffeeb038f7ebdfdda7fbc5e1e925b3","0;585;590;1672"
87,-0.206797,-0.148684,0.568423,"2dfdae1ffd9ff6fcfffaf54dfaf8dfa7d96f7e4fefe3dfff3e7f473e5fffcbc5","0;585;586;590;596;605;615;1672"
89,-0.130193,-0.027706,0.722402,"a3026e1b64b9f8406c77f7b780089e08ee88c79786b445c2063dbac1c58f5bc4","0;585;586;590;1672"
694,-0.011508,0.047207,0.162486,"5cb99e7acbcc35cfbb1f24302cf7485ba753e910324bba71fbd7566fc250a7ab","585;586;590;605;615"
1097,0.013956,0.044047,0.176653,"cb99e676cd14fcb7e953660f69bd17b7a4f7f18dc469b2e937fbd40b6ff4fbde","0;585;586;590;596;605;615;1672"
91,-0.137519,-0.052504,0.730830,"767062a85fc19a488dc499ab0acc3780eab9dfe30c23d6dd935088bb770f36d6","0;585;586;590;596;1672"
95,-0.125598,-0.122547,0.618449,"ce24b4928d7c1507fb9783188ef04cefc177e8113e4ff38289f25f7b82649566","0;585;586"
96,-0.162699,-0.109447,0.624633,"0571bd65a40f67b864e8be40d771893215547c6ac9b0792cefef651460f34363","0;585;586;590;596;605;615;1672"
101,0.087202,-0.115039,0.343998,"9b44e6d905bfe8477f5bf7128d8a1eed698f3f9db7f4f7c297fbdac0e355e3c4","586;590;596"
104,-0.170265,0.024906,0.606179,"32c761ef92c29fed150df8e3616fac605e9b87e05a9a65ff23a4aac37582a4f9","0;585;586;590;596"
105,-0.200624,0.029217,0.584627,"66764e8d6817bee8bf86d487c4ee3f50fecdffa7acd3dbdabe36cf9f1d262bd6","0;585;590;596;605;615"
106,-0.182071,-0.004592,0.615826,"06a6a09bfdf9b8c78f5759b3accc7e0eeb1b9391160c0ef30f549aef964ebdd6","0;585;586;590;596;1672"
108,-0.061133,0.023623,0.561995,"323033894fc5b1408d7dd12b0c9c640dec9ddb8186b3f2d015009aba150c37d7","0;585;586;590;596;605;1672"
114,-0.094878,0.026486,0.542434,"0d4c625b74b9ea94e4505e82b9c7b36463681bdf86946ef7664daa80b69771e8","0;585;586;590;605;615;1672"
115,-0.102673,0.035288,0.502741,"09a090b9f3f9310777176630adb3c2cc632aa298169c67d3ced71263b284a9ce","0;586;590;596;605"
116,-0.134285,-0.007541,0.727965,"0aa2e39b74f9e8433f4d55f1a88cb68ceb2a871d92bc24d70e5c32c3d78c57ed","585;590;596;605;1672"
123,-0.118024,-0.168163,0.617665,"40301961006c510068c0220896130030803468080160b100c1a9000048000722","0;585;586;590;596;605;615;1672"
125,-0.206826,-0.075386,0.583458,"e1bcd755eaeb716f7bfb72787ef7c4b533fe760831fabb6f1fba75aa63c0c7b9","585;586;590;596;605;615;1672"
127,-0.205689,-0.093566,0.574953,"72b8ac7aefdd99de8bfdb43f3add4632cdf3ff118f6bfab1db59bdff5d0c96ff","0;586;590;596;605;615;1672"
131,0.000721,0.043958,0.176519,"478ecc17ca3a2cafbeb34ad5f5629cfb27477a0cf4d8cf612e6b7f84acf0898c","0;585;586;590;596;605;1672"
132,-0.010744,0.044025,0.187958,"18f1d863d2c877b526216e0137b74a50321e01585a989137efe5344168928e9a","0;585;586;596;605;615"
133,-0.016702,0.046113,0.180204,"65b3314278dd61596b3979689ad6ccb4959c6618133aea551f9c31eec20246a5","0;585;586;590;596;605;615;1672"
134,-0.018222,0.043616,0.210457,"6229f7fd7c8bf843efb1f24abec95410cebd7f898afac3d59efadbd844887389","0;585;586;590;596;605;615;1672"
135,0.052789,0.040076,0.246302,"1bbed6d1a3bc7857ff1f7e34aebbe6fca73fee1096f8a2c29eff56c3eac4ab4f","0;585;586;590;596;605;615;1672"
136,0.082727,0.037619,0.384398,"33074aac7602cb710520fae2338ab5707ebd17edc8b305deb0ecaa807d8a70a9","0;585;586;590;596;605;1672"
137,0.048743,0.038178,0.377876,"3ab2fcf86dd5d1588bddb42f6adc6e9a8db9b5118e63bad15b5941ffd30c4e57","585;586;590;596;605;615;1672"
138,-0.033631,0.046406,0.181153,"7c2d9a30d3ef73c333a5691917ff4b18b1ff401016739802d985057de0638742","0;586;590;596;605;615;1672"
140,-0.038798,0.044244,0.224093,"22a0d6bd5f8ff8483fb4f00beeda5c00fbfde79146f7cbdd9dda4f2f552c6f8e","0;585;586;605;615;1672"
141,-0.071781,0.047204,0.202871,"54fabc36aa689488aa9f39a9f7fe4b1ba753ed1306418a21c9e37fbdc0738f43","0;585;586;590;596;605;1672"
142,-0.069943,0.043187,0.226739,"61215f856c0be94b6fb1f2ca9f8894486a8d7f8d81fac7d494b8fb144c8853a8","0;585;586;590;596;605;615;1672"
146,0.163704,-0.066057,0.691464,"5aa994ba89cd14e7ab15a809aef340d281f3e9105e4bdaf1bbf75e7b92548f0a","0;585;586;590;596;605;1672"
148,-0.102591,0.043353,0.491275,"29af222cd58de7775a0c784f2ae83600d82a020dd6baf493747c0668534ed2c4","0;585;586;590;596;605;615"
172,0.024670,-0.046791,0.889273,"821022994fe5b0438c57d297889c660bec99fb8103bf53c01500dacb1d0c35da","0;585;586;590;596;1672"
173,0.015982,-0.076454,0.884485,"8a2266996599b802ed1d56b7ac88768fee29fb1586b466d106515acbd60d5dc7","585;586;590;596;605;615"
176,-0.025905,-0.068588,0.478440,"97cee79fb632efff76d3daf651eebdef7fef3ebffddf2feebc2eff84adfdb1f5","0;585;586;590;1672"
180,0.092790,0.043114,0.343550,"3a9dbafc1dd4d567df0ddc0328bd2664c83b93015aab32fff3ff960b134cfcea","0;586;590;596;605;1672"
181,0.109556,0.030798,0.374486,"a338df5142d9a042fad27070209cd5abab39c210b5fea6600f4b5263c9216bad","585;586;590"
182,0.040582,-0.085814,0.394532,"49bd1365f08e643739a97a4cbe3300b4943f7408f1f8d14fa7ff34004ac0c3a9","585;586;590;596;1672"
183,0.009912,-0.107690,0.434641,"d98e8735ab2a0db7b6d382f4ff6380ff27666c8c39cda727c8e37ed0aae4a139","586;590;596"
184,0.076386,-0.111789,0.356511,"edbee47ffd7ff7fcfffef43deafdcfb7ddfeff22bf67fbbfefffe5ffdfffdef7","585;586;590;605"
191,0.096009,-0.107276,0.334471,"4ffeaf1feb7f3ffeb6fedee5fce6eaf6776fff9ca5dbbffb7f6f6f848af7adf1","585;586;590;1672"
196,-0.033753,0.046504,0.181304,"e3b2dc55e819542f7b332578a238ccbb9716e808f76ee34106db503f48c0ca0d","0;586;590;596;605;615;1672"
197,-0.039856,0.048357,0.174422,"5c60dc634bc93148abb52d890f874b1a229de91002419a40df85117de2030782","0;585;586;590;596;605;615;1672"
198,0.093948,0.027083,0.482747,"a0347555cd4fe57b7db6e4185335c5bf19984228e9fe710e0dda5534436846ac","0;585;590;596;605;615;1672"
203,0.025578,0.033099,0.333927,"617cf8467dbf5e3469ebbf187a3b14308cf75c4ebdabf9ef7ffe10324393c227","0;585;586;590;596;605;615"
209,-0.178481,-0.131740,0.610712,"176b668bfe9bead8efa4daefc9c8f7807eed7ffd9ebbcffcbc0cafe4ed9f79c5","0;585;586;590;605;615;1672"
211,-0.175647,-0.150776,0.607279,"1426ffffdaeb394ab6b7fbbad5e7206a7fff6e9038f7ef5fdda77345e1e9a5a0","0;585;590;1672"
212,-0.205228,-0.138607,0.565059,"5ef8b7de4bd532c8bf90a42aeef768f6f7fdfbe20343fbf99bd34f3b12362733","0;585;586;590;596;615;1672"
213,-0.163660,-0.205528,0.635012,"d9703e76095c155fb37fb63d3e9f4affa517fd40ef4db3a1d3fb74bb0a148e7f","0;585;590;605;615"
214,-0.003509,0.045850,0.167454,"5ca549e69b6847a821a48f18476748d631d649ba3803d90efbe5853d22638622","0;585;586;590;596;615"
217,-0.062702,0.023638,0.566513,"b27133894fe5b9460c7dd35b149c6409ec995bc10397f3d055009aea1109b5f3","0;585;586;590;596;605;1672"
218,-0.051690,0.017932,0.699916,"0b3077ed6fdff918eff876a7bddfd6eea63dffcd87f4f7dd47f9aba62f845dfd","0;585;586;590;615"
220,-0.011594,-0.105613,0.464289,"a5edc95bec3de7dd52bb6d5852e0dc38594e425af376ee322c1c257cd9fbd2a0","585;586;590;596"
221,0.011444,0.047533,0.155363,"5ef09078cb6113caaa17ad090cd7499ab7d1eb9212479a71d9c75b7f92732723","0;585;586;1672"
223,0.064306,0.043277,0.234327,"6ae902884d99bee58b149c2b2cc8769688b3fbc1462b82f13b508ebb571e9fce","0;585;586;590;596;1672"
224,-0.129818,-0.027184,0.722511,"36516fa80f43d7488564d9ab43cc3f017891d7e34ca3348cf3c0c81f753ff6d6","0;585;586;590;1672"
228,-0.119041,-0.078571,0.605485,"deeeaebaabe11fefb79fb4b96cef6e5beff3ef937a4bcaf3fbd7dfff9255a7cb","0;585;1672"
229,-0.127733,-0.077149,0.597377,"adff7547f63ba6f87faa7be6ca689da53f5ea66af1f06dfe2c3e67866ffbc3b5","0;585;586;590;596;605;615;1672"
231,-0.162714,-0.109919,0.624950,"497bb965344f47bd64e87e40d335813014547c68c9b8f10ceded251460b24229","0;585;586;590;596;605;615;1672"
233,-0.161598,-0.124522,0.623750,"182892fc09fd5047bd83e411afbf4098e8bbfb000cef9280d3ff521bc244af8a","0;585;596;605;1672"
239,-0.044743,0.044236,0.223456,"032177e17e2fe8566d21fa4e9f89d4306e8d7f0d83b995d096b82aa06d8843a9","0;585;586;590;596;605;615;1672"
242,-0.095462,0.030340,0.520609,"0cffecd7ee30feb6eebe1c22997bd5eb2372bfdbd058aee06e4fffa5a7f7ddab","585;586;590;1672"
243,-0.118140,0.036518,0.504857,"521b97bd8d66ec57ed1fda77acaa24dfe8e76f8111d983e094f2fe82a971f70f","0;586;615;1672"
244,-0.132204,-0.007892,0.713039,"b7523a8a4f35bb508d4cf56f089cbe2bec99d7f78437b0c05709aaae5d0f3ad7","585;586;590;596;605;615;1672"
247,0.082929,0.037418,0.386311,"300553ec7602ef750500fac2330bb4507aac16ec48bb05ceb0eca2807d8af0a8","0;585;586;590;596;605;1672"
